GEO;geo;name;four_regions;eight_regions;six_regions;members_oecd_g77;Latitude;Longitude;UN member since;World bank region;World bank, 4 income groups 2017;World bank, 3 income groups 2017
GIN;gin;Guinea;africa;africa_sub_saharan;sub_saharan_africa;g77;10,83333;-10,66667;12.12.1958;Sub-Saharan Africa;Low income;
GNB;gnb;Guinea-Bissau;africa;africa_sub_saharan;sub_saharan_africa;g77;12;-15;17.9.1974;Sub-Saharan Africa;Low income;
GUY;guy;Guyana;americas;america_south;america;g77;5;-59;20.9.1966;Latin America & Caribbean;Upper middle income;
HTI;hti;Haiti;americas;america_north;america;g77;19;-72,41667;24.10.1945;Latin America & Caribbean;Low income;
HOS;hos;Holy See;europe;europe_west;europe_central_asia;others;41,90236;12,45332;;;;
HND;hnd;Honduras;americas;america_north;america;g77;15;-86,5;17.12.1945;Latin America & Caribbean;Lower middle income;
HKG;hkg;Hong Kong, China;asia;east_asia_pacific;east_asia_pacific;others;22,28552;114,15769;;East Asia & Pacific;High income;
HUN;hun;Hungary;europe;europe_east;europe_central_asia;oecd;47;20;14.12.1955;Europe & Central Asia;High income;
ISL;isl;Iceland;europe;europe_west;europe_central_asia;oecd;65;-18;19.11.1946;Europe & Central Asia;High income;
IND;ind;India;asia;asia_west;south_asia;g77;22;79;30.10.1945;South Asia;Lower middle income;
IDN;idn;Indonesia;asia;east_asia_pacific;east_asia_pacific;g77;-5;120;28.9.1950;East Asia & Pacific;Lower middle income;
IRN;irn;Iran;asia;asia_west;middle_east_north_africa;g77;32;53;24.10.1945;Middle East & North Africa;Upper middle income;
IRQ;irq;Iraq;asia;asia_west;middle_east_north_africa;g77;33;44;21.12.1945;Middle East & North Africa;Upper middle income;
IRL;irl;Ireland;europe;europe_west;europe_central_asia;oecd;53;-8;14.12.1955;Europe & Central Asia;High income;
ISR;isr;Israel;asia;asia_west;middle_east_north_africa;others;31,5;34,75;11.5.1949;Middle East & North Africa;High income;
ITA;ita;Italy;europe;europe_west;europe_central_asia;oecd;42,83333;12,83333;14.12.1955;Europe & Central Asia;High income;
JAM;jam;Jamaica;americas;america_north;america;g77;18,16667;-77,25;18.9.1962;Latin America & Caribbean;Upper middle income;
JPN;jpn;Japan;asia;east_asia_pacific;east_asia_pacific;oecd;35,68536;139,75309;18.12.1956;East Asia & Pacific;High income;
JOR;jor;Jordan;asia;asia_west;middle_east_north_africa;g77;31;36;14.12.1955;Middle East & North Africa;Lower middle income;
KAZ;kaz;Kazakhstan;asia;asia_west;europe_central_asia;others;48;68;2.3.1992;Europe & Central Asia;Upper middle income;
KEN;ken;Kenya;africa;africa_sub_saharan;sub_saharan_africa;g77;1;38;16.12.1963;Sub-Saharan Africa;Lower middle income;
KIR;kir;Kiribati;asia;east_asia_pacific;east_asia_pacific;others;1,421;172,984;14.9.1999;East Asia & Pacific;Lower middle income;
PRK;prk;North Korea;asia;east_asia_pacific;east_asia_pacific;g77;40;127;17.9.1991;East Asia & Pacific;Low income;
KOR;kor;South Korea;asia;east_asia_pacific;east_asia_pacific;oecd;36,5;127,75;17.9.1991;East Asia & Pacific;High income;
KWT;kwt;Kuwait;asia;asia_west;middle_east_north_africa;g77;29,36972;47,97833;14.5.1963;Middle East & North Africa;High income;
KGZ;kgz;Kyrgyz Republic;asia;asia_west;europe_central_asia;others;41,5;75;2.3.1992;Europe & Central Asia;Lower middle income;
LAO;lao;Lao;asia;east_asia_pacific;east_asia_pacific;g77;18;105;14.12.1955;East Asia & Pacific;Lower middle income;
LVA;lva;Latvia;europe;europe_east;europe_central_asia;others;57;25;17.9.1991;Europe & Central Asia;High income;
LBN;lbn;Lebanon;asia;asia_west;middle_east_north_africa;g77;33,83333;35,83333;24.10.1945;Middle East & North Africa;Upper middle income;
LSO;lso;Lesotho;africa;africa_sub_saharan;sub_saharan_africa;g77;-29,5;28,25;17.10.1966;Sub-Saharan Africa;Lower middle income;
LBR;lbr;Liberia;africa;africa_sub_saharan;sub_saharan_africa;g77;6,5;-9,5;2.11.1945;Sub-Saharan Africa;Low income;
LBY;lby;Libya;africa;africa_north;middle_east_north_africa;g77;28;17;14.12.1955;Middle East & North Africa;Upper middle income;
LIE;lie;Liechtenstein;europe;europe_west;europe_central_asia;others;47,16667;9,53333;18.9.1990;Europe & Central Asia;High income;
LTU;ltu;Lithuania;europe;europe_east;europe_central_asia;others;55,41667;24;17.9.1991;Europe & Central Asia;High income;
LUX;lux;Luxembourg;europe;europe_west;europe_central_asia;oecd;49,61167;6,13;24.10.1945;Europe & Central Asia;High income;
MKD;mkd;Macedonia, FYR;europe;europe_east;europe_central_asia;others;41,66667;21,75;8.4.1993;Europe & Central Asia;Upper middle income;
MDG;mdg;Madagascar;africa;africa_sub_saharan;sub_saharan_africa;g77;-20;47;20.9.1960;Sub-Saharan Africa;Low income;
MWI;mwi;Malawi;africa;africa_sub_saharan;sub_saharan_africa;g77;-13,5;34;1.12.1964;Sub-Saharan Africa;Low income;
MYS;mys;Malaysia;asia;east_asia_pacific;east_asia_pacific;g77;2,5;112,5;17.9.1957;East Asia & Pacific;Upper middle income;
MDV;mdv;Maldives;asia;asia_west;south_asia;g77;3,2;73;21.9.1965;South Asia;Upper middle income;
MLI;mli;Mali;africa;africa_sub_saharan;sub_saharan_africa;g77;18;-2;28.9.1960;Sub-Saharan Africa;Low income;
MLT;mlt;Malta;europe;europe_west;europe_central_asia;others;35,91667;14,43333;1.12.1964;Middle East & North Africa;High income;
MHL;mhl;Marshall Islands;asia;east_asia_pacific;east_asia_pacific;g77;7,113;171,236;17.9.1991;East Asia & Pacific;Upper middle income;
MRT;mrt;Mauritania;africa;africa_sub_saharan;sub_saharan_africa;g77;20,25;-10,5;27.10.1961;Sub-Saharan Africa;Lower middle income;
MUS;mus;Mauritius;africa;africa_sub_saharan;sub_saharan_africa;g77;-20,3;57,58333;24.4.1968;Sub-Saharan Africa;Upper middle income;
MEX;mex;Mexico;americas;america_north;america;oecd;19,42847;-99,12766;7.11.1945;Latin America & Caribbean;Upper middle income;
FSM;fsm;Micronesia, Fed. Sts.;asia;east_asia_pacific;east_asia_pacific;g77;6,924;158,162;17.9.1991;East Asia & Pacific;Lower middle income;
MDA;mda;Moldova;europe;europe_east;europe_central_asia;others;47,25;28,58333;2.3.1992;Europe & Central Asia;Lower middle income;
MCO;mco;Monaco;europe;europe_west;europe_central_asia;others;43,73333;7,41667;28.5.1993;Europe & Central Asia;High income;
MNG;mng;Mongolia;asia;east_asia_pacific;east_asia_pacific;g77;46;105;27.10.1961;East Asia & Pacific;Lower middle income;
MNE;mne;Montenegro;europe;europe_east;europe_central_asia;others;42,75;19,25;28.6.2006;Europe & Central Asia;Upper middle income;
MAR;mar;Morocco;africa;africa_north;middle_east_north_africa;g77;32;-6;12.11.1956;Middle East & North Africa;Lower middle income;
MOZ;moz;Mozambique;africa;africa_sub_saharan;sub_saharan_africa;g77;-18,25;35;16.9.1975;Sub-Saharan Africa;Low income;
MMR;mmr;Myanmar;asia;east_asia_pacific;east_asia_pacific;g77;21;96;19.4.1948;East Asia & Pacific;Lower middle income;
NAM;nam;Namibia;africa;africa_sub_saharan;sub_saharan_africa;g77;-22;17;23.4.1990;Sub-Saharan Africa;Upper middle income;
NRU;nru;Nauru;asia;east_asia_pacific;east_asia_pacific;others;-0,517;166,933;14.9.1999;East Asia & Pacific;Upper middle income;
NPL;npl;Nepal;asia;asia_west;south_asia;g77;28;84;14.12.1955;South Asia;Low income;
NLD;nld;Netherlands;europe;europe_west;europe_central_asia;oecd;52,25;5,75;10.12.1945;Europe & Central Asia;High income;
NZL;nzl;New Zealand;asia;east_asia_pacific;east_asia_pacific;oecd;-42;174;24.10.1945;East Asia & Pacific;High income;
NIC;nic;Nicaragua;americas;america_north;america;g77;13;-85;24.10.1945;Latin America & Caribbean;Lower middle income;
NER;ner;Niger;africa;africa_sub_saharan;sub_saharan_africa;g77;18;9;20.9.1960;Sub-Saharan Africa;Low income;
NGA;nga;Nigeria;africa;africa_sub_saharan;sub_saharan_africa;g77;10;8;7.10.1960;Sub-Saharan Africa;Lower middle income;
NOR;nor;Norway;europe;europe_west;europe_central_asia;oecd;62;10;27.11.1945;Europe & Central Asia;High income;
OMN;omn;Oman;asia;asia_west;middle_east_north_africa;g77;21;57;7.10.1971;Middle East & North Africa;High income;
PAK;pak;Pakistan;asia;asia_west;south_asia;g77;30;70;30.9.1947;South Asia;Lower middle income;
PLW;plw;Palau;asia;east_asia_pacific;east_asia_pacific;others;7,503;134,621;15.12.1994;East Asia & Pacific;High income;
PAN;pan;Panama;americas;america_north;america;g77;8,9936;-79,51973;13.11.1945;Latin America & Caribbean;Upper middle income;
PNG;png;Papua New Guinea;asia;east_asia_pacific;east_asia_pacific;g77;-6;147;10.10.1975;East Asia & Pacific;Lower middle income;
PRY;pry;Paraguay;americas;america_south;america;g77;-23,33333;-58;24.10.1945;Latin America & Caribbean;Upper middle income;
PER;per;Peru;americas;america_south;america;g77;-10;-75,25;31.10.1945;Latin America & Caribbean;Upper middle income;
PHL;phl;Philippines;asia;east_asia_pacific;east_asia_pacific;g77;13;122;24.10.1945;East Asia & Pacific;Lower middle income;
POL;pol;Poland;europe;europe_west;europe_central_asia;oecd;52;20;24.10.1945;Europe & Central Asia;High income;
PRT;prt;Portugal;europe;europe_west;europe_central_asia;oecd;39,6945;-8,13057;14.12.1955;Europe & Central Asia;High income;
QAT;qat;Qatar;asia;asia_west;middle_east_north_africa;g77;25,27932;51,52245;21.9.1971;Middle East & North Africa;High income;
ROU;rou;Romania;europe;europe_east;europe_central_asia;others;46;25;14.12.1955;Europe & Central Asia;Upper middle income;
RUS;rus;Russia;europe;europe_east;europe_central_asia;others;60;100;24.10.1945;Europe & Central Asia;Upper middle income;
RWA;rwa;Rwanda;africa;africa_sub_saharan;sub_saharan_africa;g77;-2;30;18.9.1962;Sub-Saharan Africa;Low income;
KNA;kna;St. Kitts and Nevis;americas;america_north;america;g77;17,33333;-62,75;23.9.1983;Latin America & Caribbean;High income;
LCA;lca;St. Lucia;americas;america_north;america;g77;13,88333;-60,96667;18.9.1979;Latin America & Caribbean;Upper middle income;
VCT;vct;St. Vincent and the Grenadines;americas;america_north;america;g77;13,08333;-61,2;16.9.1980;Latin America & Caribbean;Upper middle income;
WSM;wsm;Samoa;asia;east_asia_pacific;east_asia_pacific;g77;-13,8;-172,13333;15.12.1976;East Asia & Pacific;Upper middle income;
SMR;smr;San Marino;europe;europe_west;europe_central_asia;others;43,93667;12,44639;2.3.1992;Europe & Central Asia;High income;
STP;stp;Sao Tome and Principe;africa;africa_sub_saharan;sub_saharan_africa;g77;1;7;16.9.1975;Sub-Saharan Africa;Lower middle income;
SAU;sau;Saudi Arabia;asia;asia_west;middle_east_north_africa;g77;25;45;24.10.1945;Middle East & North Africa;High income;
SEN;sen;Senegal;africa;africa_sub_saharan;sub_saharan_africa;g77;14,5;-14,25;28.9.1960;Sub-Saharan Africa;Low income;
SRB;srb;Serbia;europe;europe_east;europe_central_asia;others;44,81892;20,45998;1.11.2000;Europe & Central Asia;Upper middle income;
SYC;syc;Seychelles;africa;africa_sub_saharan;sub_saharan_africa;g77;-4,58333;55,66667;21.9.1976;Sub-Saharan Africa;High income;
SLE;sle;Sierra Leone;africa;africa_sub_saharan;sub_saharan_africa;g77;8,5;-11,5;27.9.1961;Sub-Saharan Africa;Low income;
SGP;sgp;Singapore;asia;east_asia_pacific;east_asia_pacific;g77;1,28967;103,85007;21.9.1965;East Asia & Pacific;High income;
SVK;svk;Slovak Republic;europe;europe_east;europe_central_asia;oecd;48,66667;19,5;19.1.1993;Europe & Central Asia;High income;
SVN;svn;Slovenia;europe;europe_east;europe_central_asia;others;46,08333;15;22.5.1992;Europe & Central Asia;High income;
SLB;slb;Solomon Islands;asia;east_asia_pacific;east_asia_pacific;g77;-8;159;19.9.1978;East Asia & Pacific;Lower middle income;
SOM;som;Somalia;africa;africa_sub_saharan;sub_saharan_africa;g77;6;48;20.9.1960;Sub-Saharan Africa;Low income;
ZAF;zaf;South Africa;africa;africa_sub_saharan;sub_saharan_africa;g77;-29;24;7.11.1945;Sub-Saharan Africa;Upper middle income;
ESP;esp;Spain;europe;europe_west;europe_central_asia;oecd;40;-4;14.12.1955;Europe & Central Asia;High income;
LKA;lka;Sri Lanka;asia;asia_west;south_asia;g77;7,75;80,75;14.12.1955;South Asia;Lower middle income;
SDN;sdn;Sudan;africa;africa_sub_saharan;sub_saharan_africa;g77;16;30;12.11.1956;Sub-Saharan Africa;Lower middle income;
SUR;sur;Suriname;americas;america_south;america;g77;4;-56;4.12.1975;Latin America & Caribbean;Upper middle income;
SWZ;swz;Swaziland;africa;africa_sub_saharan;sub_saharan_africa;g77;-26,5;31,5;24.9.1968;Sub-Saharan Africa;Lower middle income;
SWE;swe;Sweden;europe;europe_west;europe_central_asia;oecd;62;15;19.11.1946;Europe & Central Asia;High income;
CHE;che;Switzerland;europe;europe_west;europe_central_asia;oecd;47,00016;8,01427;10.9.2002;Europe & Central Asia;High income;
SYR;syr;Syria;asia;asia_west;middle_east_north_africa;g77;35;38;24.10.1945;Middle East & North Africa;Lower middle income;
TWN;twn;Taiwan;asia;east_asia_pacific;east_asia_pacific;others;24;121;;East Asia & Pacific;High income;
TJK;tjk;Tajikistan;asia;asia_west;europe_central_asia;others;39;71;2.3.1992;Europe & Central Asia;Lower middle income;
TZA;tza;Tanzania;africa;africa_sub_saharan;sub_saharan_africa;g77;-6;35;14.12.1961;Sub-Saharan Africa;Low income;
THA;tha;Thailand;asia;east_asia_pacific;east_asia_pacific;g77;15,5;101;16.12.1946;East Asia & Pacific;Upper middle income;
TLS;tls;Timor-Leste;asia;east_asia_pacific;east_asia_pacific;g77;-8,83333;125,75;27.9.2002;East Asia & Pacific;Lower middle income;
TGO;tgo;Togo;africa;africa_sub_saharan;sub_saharan_africa;g77;8,66667;1,08333;20.9.1960;Sub-Saharan Africa;Low income;
TON;ton;Tonga;asia;east_asia_pacific;east_asia_pacific;g77;-20;-175;14.9.1999;East Asia & Pacific;Upper middle income;
TTO;tto;Trinidad and Tobago;americas;america_north;america;g77;11;-61;18.9.1962;Latin America & Caribbean;High income;
TUN;tun;Tunisia;africa;africa_north;middle_east_north_africa;g77;34;9;12.11.1956;Middle East & North Africa;Lower middle income;
TUR;tur;Turkey;europe;europe_east;europe_central_asia;oecd;39;35;24.10.1945;Europe & Central Asia;Upper middle income;
TKM;tkm;Turkmenistan;asia;asia_west;europe_central_asia;g77;39,75;59,66667;2.3.1992;Europe & Central Asia;Upper middle income;
TUV;tuv;Tuvalu;asia;east_asia_pacific;east_asia_pacific;others;-8,51719;179,14478;5.9.2000;East Asia & Pacific;Upper middle income;
UGA;uga;Uganda;africa;africa_sub_saharan;sub_saharan_africa;g77;1,25;32,5;25.10.1962;Sub-Saharan Africa;Low income;
UKR;ukr;Ukraine;europe;europe_east;europe_central_asia;others;49;32;24.10.1945;Europe & Central Asia;Lower middle income;
ARE;are;United Arab Emirates;asia;asia_west;middle_east_north_africa;g77;23,75;54,5;9.12.1971;Middle East & North Africa;High income;
GBR;gbr;United Kingdom;europe;europe_west;europe_central_asia;oecd;54,75844;-2,69531;24.10.1945;Europe & Central Asia;High income;
USA;usa;United States;americas;america_north;america;oecd;39,76;-98,5;24.10.1945;North America;High income;
URY;ury;Uruguay;americas;america_south;america;g77;-33;-56;18.12.1945;Latin America & Caribbean;High income;
UZB;uzb;Uzbekistan;asia;asia_west;europe_central_asia;others;41,66667;63,83333;2.3.1992;Europe & Central Asia;Lower middle income;
VUT;vut;Vanuatu;asia;east_asia_pacific;east_asia_pacific;g77;-16;167;15.9.1981;East Asia & Pacific;Lower middle income;
VEN;ven;Venezuela;americas;america_south;america;g77;8;-66;15.11.1945;Latin America & Caribbean;Upper middle income;
PSE;pse;Palestine;asia;asia_west;middle_east_north_africa;g77;31,92157;35,20329;;Middle East & North Africa;Lower middle income;
VNM;vnm;Vietnam;asia;east_asia_pacific;east_asia_pacific;g77;16,16667;107,83333;20.9.1977;East Asia & Pacific;Lower middle income;
YEM;yem;Yemen;asia;asia_west;middle_east_north_africa;g77;15,5;47,5;30.9.1947;Middle East & North Africa;Lower middle income;
ZMB;zmb;Zambia;africa;africa_sub_saharan;sub_saharan_africa;g77;-14,33333;28,5;1.12.1964;Sub-Saharan Africa;Lower middle income;
ZWE;zwe;Zimbabwe;africa;africa_sub_saharan;sub_saharan_africa;g77;-19;29,75;25.8.1980;Sub-Saharan Africa;Low income;
SSD;ssd;South Sudan;africa;africa_sub_saharan;sub_saharan_africa;;7,5;30;14.7.2011;Sub-Saharan Africa;Low income;
